ipps_2012_id,provider_id,drg_definition,provider_id,hospital_referral_region,total_discharges,average_covered_charges,average_total_payments,average_medicare_payments
Q1000,10001,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,10001,AL - Dothan,95,37467.96,5525.67,4485.87
Q10000,51329,069 - TRANSIENT ISCHEMIA,340114,NC - Raleigh,120,14455.71,4136.77,2884.39
Q100000,51329,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100131,FL - Miami,189,34861.6,4633.86,3465.9
Q100001,51329,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100132,FL - Lakeland,48,23909.5,4497.15,3346.58
Q100002,51329,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100135,FL - Tallahassee,91,20698.23,4545.91,3662.89
Q100003,51329,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100137,FL - Orlando,122,30376.09,4335.66,3246.3
Q100004,51329,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100140,FL - Jacksonville,27,16334.78,4232.85,3296.26
Q100005,51329,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100142,AL - Dothan,29,14130.17,4060,2987.86
Q100006,51329,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100150,FL - Miami,64,33035.42,6147.28,4499.98
Q100007,51329,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100151,FL - Jacksonville,80,18498,6875.24,5836.79
Q100008,51330,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100154,FL - Miami,52,33672.69,5874.19,3741.13
Q100009,10001,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100156,FL - Gainesville,105,34224.93,5107.69,4059.77
Q10001,51330,069 - TRANSIENT ISCHEMIA,340115,NC - Durham,184,12932.74,4605.12,3408.88
Q100010,51330,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100157,FL - Lakeland,302,28373.63,4263.35,3328.79
Q100011,51330,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100161,FL - Orlando,90,25262.89,4267.11,3062.99
Q100012,51330,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100166,FL - Sarasota,83,29207.9,3902.72,2938.94
Q100013,51330,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100167,FL - Fort Lauderdale,166,44471.3,5782.39,4687.87
Q100014,51330,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100168,FL - Fort Lauderdale,161,21280.88,4125,3178.93
Q100015,51330,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100173,FL - Tampa,150,27596.07,4570.99,3154
Q100016,51330,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100175,FL - Sarasota,16,16268.19,4842.19,3486.75
Q100017,51330,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100176,FL - Fort Lauderdale,93,34007.4,4791.94,3181.94
Q100018,51330,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100177,FL - Orlando,52,22663.63,4192.75,2998.63
Q100019,10001,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100179,FL - Jacksonville,155,45379.62,4344.26,3306.59
Q10002,51330,069 - TRANSIENT ISCHEMIA,340116,NC - Hickory,37,19834.27,4201.22,3032.84
Q100020,51330,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100180,FL - St. Petersburg,77,47588.82,4755.25,3713.06
Q100021,51330,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100181,FL - Miami,40,31805.4,6606.8,5859.6
Q100022,51330,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100183,FL - Miami,118,48174.6,5856.67,4875.19
Q100023,51331,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100187,FL - Miami,140,38606.44,6278.21,5284.4
Q100024,51331,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100189,FL - Fort Lauderdale,92,39464.29,4510.26,3536.7
Q100025,51331,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100191,FL - Hudson,151,42127.28,4067.17,3113.7
Q100026,51331,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100200,FL - Fort Lauderdale,20,30121.65,4399.9,3271.35
Q100027,51331,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100204,FL - Gainesville,309,42445.83,4485.91,3143.29
Q100028,51331,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100206,FL - Tampa,98,21405.89,3907.59,2926.48
Q100029,10001,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100209,FL - Miami,95,42048.58,5548.19,4504.28
Q10003,51331,069 - TRANSIENT ISCHEMIA,340119,NC - Charlotte,15,18214.33,4443.47,3372.53
Q100030,51331,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100211,FL - Tampa,50,26088.02,4137.28,3013.54
Q100031,51331,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100212,FL - Ocala,165,31279.32,3901.42,2906.82
Q100032,51331,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100213,FL - Bradenton,196,31398.81,3966.19,2809.25
Q100033,51331,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100217,FL - Orlando,82,38498.57,3985.54,2937.8
Q100034,51331,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100220,FL - Fort Myers,222,21025.05,4247.32,3133.99
Q100035,51331,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100223,FL - Pensacola,100,53915.39,4078.4,3209.55
Q100036,51331,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100224,FL - Fort Lauderdale,87,41681.28,4433.39,3297.79
Q100037,51331,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100226,FL - Jacksonville,198,52811.03,4399.65,3333.65
Q100038,51332,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100228,FL - Fort Lauderdale,74,43602.05,4442.96,3223.49
Q100039,10001,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100230,FL - Miami,21,43614.29,5191.95,4000.14
Q10004,51332,069 - TRANSIENT ISCHEMIA,340123,NC - Greensboro,12,12696.17,4409.67,3257.67
Q100040,51332,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100231,FL - Pensacola,97,36868.33,4195.71,2845.3
Q100041,51332,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100232,FL - Gainesville,88,19756.69,4376.4,3449.72
Q100042,51332,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100234,FL - Fort Lauderdale,32,42906.97,4993.75,4130.5
Q100043,51332,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100236,FL - Fort Myers,147,40944.67,4213.3,2887.92
Q100044,51332,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100238,FL - St. Petersburg,96,44024.54,4329.61,3488.16
Q100045,51332,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100239,FL - St. Petersburg,39,38769.15,4298.26,3113.54
Q100046,51332,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100242,FL - Panama City,67,41866.31,4985.28,3215.75
Q100047,51332,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100243,FL - Tampa,125,40452.25,4577.98,3463.53
Q100048,51332,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100244,FL - Fort Myers,160,20859.39,3971.49,3002.78
Q100049,10001,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100246,FL - Orlando,133,46865.57,4913.93,3549.12
Q10005,51332,069 - TRANSIENT ISCHEMIA,340126,NC - Raleigh,39,20792.82,4868.05,3585.21
Q100050,51332,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100248,FL - Clearwater,207,37712.38,4494.07,3438.75
Q100051,51332,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100249,FL - Ocala,96,21375.19,4109.91,2978.63
Q100052,51332,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100252,FL - Orlando,69,31434.19,4912.72,3652.35
Q100053,53302,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100253,FL - Fort Lauderdale,102,25478,4720.33,3005.24
Q100054,53302,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100254,FL - Tallahassee,72,33935.38,4415.13,3339.06
Q100055,53302,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100255,FL - Tampa,32,27861.03,4290.84,2923.97
Q100056,53302,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100256,FL - Hudson,217,33518.64,4042.23,2912.91
Q100057,53302,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100258,FL - Fort Lauderdale,211,39116.4,4238.92,3131.81
Q100058,53302,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100259,FL - Tampa,103,37826.55,3840.83,3038.83
Q100059,10001,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100260,FL - Fort Lauderdale,142,41708.78,4386.52,3114.51
Q10006,53302,069 - TRANSIENT ISCHEMIA,340129,NC - Charlotte,41,25073.02,4102.37,3092.02
Q100060,53302,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100264,FL - Hudson,226,46540.27,3864.82,2946.19
Q100061,53302,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100265,FL - Clearwater,110,23915.05,4063.19,2981.79
Q100062,53302,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100266,FL - Pensacola,57,20152.47,3654,2898.53
Q100063,53302,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100267,FL - Sarasota,69,37329.74,3842.51,2874.28
Q100064,53302,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100268,FL - Fort Lauderdale,55,24733.42,4629.65,3623.27
Q100065,53302,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100269,FL - Fort Lauderdale,62,46030.48,5573.06,4213.05
Q100066,53302,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100275,FL - Fort Lauderdale,84,26581.36,5086.58,4131.82
Q100067,53302,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100276,FL - Fort Lauderdale,50,23836.44,4728.14,3712.12
Q100068,53305,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100281,FL - Miami,94,37172.16,4706.87,3701.96
Q100069,10001,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100284,FL - Miami,39,18729.62,6708.05,5833.62
Q10007,53305,069 - TRANSIENT ISCHEMIA,340130,NC - Charlotte,22,12445.77,4747.18,3699.55
Q100070,53305,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100285,FL - Miami,41,41772.88,5424.98,4377.51
Q100071,53305,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100286,FL - Fort Myers,114,41929.63,4362.97,3083.41
Q100072,53305,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100287,FL - Fort Lauderdale,115,31934.69,4665.24,3570.62
Q100073,53305,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",100288,FL - Fort Lauderdale,17,32154.71,6006.41,4171.59
